Nombre de nœuds,Temps moyen d'insertion (secondes)
7890,0.003266
7900,0.003314
7910,0.003414
7920,0.003789
7930,0.003986
7940,0.003453
7950,0.003468
7960,0.003670
7970,0.003929
7980,0.003415
7990,0.003278
8000,0.003919
8010,0.003479
8020,0.003379
8030,0.003814
8040,0.003460
8050,0.003727
8060,0.003304
8070,0.003550
8080,0.003473
8090,0.003505
8100,0.003550
8110,0.003504
8120,0.003353
8130,0.003658
8140,0.003475
8150,0.003538
8160,0.003367
8170,0.003485
8180,0.003543
8190,0.003416
8200,0.003615
8210,0.003522
8220,0.003942
8230,0.003366
8240,0.003525
8250,0.003481
8260,0.003588
8270,0.003413
8280,0.003680
8290,0.003887
8300,0.003665
8310,0.003512
8320,0.003539
8330,0.003819
8340,0.003626
8350,0.003728
8360,0.003914
8370,0.003847
8380,0.003554
8390,0.003639
8400,0.004182
8410,0.003690
8420,0.003694
8430,0.003738
8440,0.003711
8450,0.003870
8460,0.003595
8470,0.003636
8480,0.003747
8490,0.003861
8500,0.003543
8510,0.003985
8520,0.003674
8530,0.003594
8540,0.003672
8550,0.004411
8560,0.003772
8570,0.003801
8580,0.003617
8590,0.003728
8600,0.004079
8610,0.003842
8620,0.004034
8630,0.004209
8640,0.003682
8650,0.003688
8660,0.003671
8670,0.004430
8680,0.003940
8690,0.004045
8700,0.003743
8710,0.003756
8720,0.003800
8730,0.004260
8740,0.003600
8750,0.003515
8760,0.003790
8770,0.003732
8780,0.004077
8790,0.003687
8800,0.003703
8810,0.003600
8820,0.003816
8830,0.003812
8840,0.003893
8850,0.003903
8860,0.003772
8870,0.004004
8880,0.003812
8890,0.003962
8900,0.004245
8910,0.003996
8920,0.003774
8930,0.003618
8940,0.003676
8950,0.003818
8960,0.003831
8970,0.004007
8980,0.003977
8990,0.004013
9000,0.003830
9010,0.003910
9020,0.003877
9030,0.003852
9040,0.004245
9050,0.003985
9060,0.003900
9070,0.004263
9080,0.003899
9090,0.004416
9100,0.004194
9110,0.004068
9120,0.004070
9130,0.004721
9140,0.003864
9150,0.004020
9160,0.004291
9170,0.004375
9180,0.003732
9190,0.004224
9200,0.003782
9210,0.003995
9220,0.004111
9230,0.004217
9240,0.004161
9250,0.004092
9260,0.004080
9270,0.004213
9280,0.004258
9290,0.004448
9300,0.004190
9310,0.004432
9320,0.004159
9330,0.004176
9340,0.004908
9350,0.004343
9360,0.004452
9370,0.004351
9380,0.004307
9390,0.004871
9400,0.004207
9410,0.003953
9420,0.003858
9430,0.004045
9440,0.004203
9450,0.004251
9460,0.004172
9470,0.004248
9480,0.004243
9490,0.004062
9500,0.004050
9510,0.004438
9520,0.004105
9530,0.004378
9540,0.004082
9550,0.004016
9560,0.004256
9570,0.003970
9580,0.004203
9590,0.004133
9600,0.004379
9610,0.004229
9620,0.004009
9630,0.004094
9640,0.004174
9650,0.004310
9660,0.004088
9670,0.004249
9680,0.004872
9690,0.004749
9700,0.004111
9710,0.004193
9720,0.004019
9730,0.004272
9740,0.004496
9750,0.004228
9760,0.004740
9770,0.004332
9780,0.004410
9790,0.004649
9800,0.004774
9810,0.004308
9820,0.004179
9830,0.004567
9840,0.004764
9850,0.004303
9860,0.004199
9870,0.004027
9880,0.004280
9890,0.004547
9900,0.004316
9910,0.004431
9920,0.004143
9930,0.004628
9940,0.004218
9950,0.004422
9960,0.004324
9970,0.004439
9980,0.004401
9990,0.004664
10000,0.004273
